电信测试,#genre#
漯河公共频道,http://123.10.79.185:808/hls/78/index.m3u8
IPTV经典电影,http://123.10.79.185:808/hls/79/index.m3u8
IPTV谍战剧场,http://123.10.79.185:808/hls/80/index.m3u8
IPTV相声小品,http://123.10.79.185:808/hls/81/index.m3u8
IPTV热播剧场,http://123.10.79.185:808/hls/82/index.m3u8
IPTV法治,http://123.10.79.185:808/hls/83/index.m3u8
IPTV野外,http://123.10.79.185:808/hls/84/index.m3u8
音乐现场,http://123.10.79.185:808/hls/85/index.m3u8
轮播,http://123.10.79.185:808/hls/86/index.m3u8
临颍综合频道,http://123.10.79.185:808/hls/88/index.m3u8
舞阳新闻综合,http://123.10.79.185:808/hls/91/index.m3u8
早教,http://123.10.79.185:808/hls/92/index.m3u8
爱大剧,http://123.10.79.185:808/hls/101/index.m3u8


河北联通,#genre#
CCTV-1HD,http://121.24.99.191:8090/hls/9/index.m3u8
CCTV-2HD,http://121.24.99.191:8090/hls/10/index.m3u8
CCTV-3HD,http://121.24.99.191:8090/hls/11/index.m3u8
CCTV-4HD,http://121.24.99.191:8090/hls/12/index.m3u8
CCTV-5HD,http://121.24.99.191:8090/hls/73/index.m3u8
CCTV-5HD,http://121.24.99.191:8090/hls/13/index.m3u8
CCTV-5+HD,http://121.24.99.191:8090/hls/5/index.m3u8
CCTV-6HD,http://121.24.99.191:8090/hls/14/index.m3u8
CCTV-7HD,http://121.24.99.191:8090/hls/15/index.m3u8
CCTV-8HD,http://121.24.99.191:8090/hls/16/index.m3u8
CCTV-9HD,http://121.24.99.191:8090/hls/17/index.m3u8
CCTV-10HD,http://121.24.99.191:8090/hls/18/index.m3u8
CCTV-11HD,http://121.24.99.191:8090/hls/19/index.m3u8
CCTV-12HD,http://121.24.99.191:8090/hls/20/index.m3u8
CCTV-13HD,http://121.24.99.191:8090/hls/21/index.m3u8
CCTV-14HD,http://121.24.99.191:8090/hls/22/index.m3u8
CCTV-15HD,http://121.24.99.191:8090/hls/23/index.m3u8
CCTV-17HD,http://121.24.99.191:8090/hls/24/index.m3u8
CCTV-兵器科技,http://121.24.99.191:8090/hls/101/index.m3u8
CCTV-电视指南,http://121.24.99.191:8090/hls/103/index.m3u8
CCTV-第一剧场,http://121.24.99.191:8090/hls/104/index.m3u8
CCTV-怀旧剧场,http://121.24.99.191:8090/hls/105/index.m3u8
CCTV-风云剧场,http://121.24.99.191:8090/hls/106/index.m3u8
CCTV-世界地理,http://121.24.99.191:8090/hls/107/index.m3u8
CCTV-风云足球,http://121.24.99.191:8090/hls/110/index.m3u8
CCTV-风云音乐,http://121.24.99.191:8090/hls/112/index.m3u8

河北卫视HD,http://121.24.99.191:8090/hls/25/index.m3u8
北京卫视HD,http://121.24.99.191:8090/hls/32/index.m3u8
天津卫视HD,http://121.24.99.191:8090/hls/33/index.m3u8
河南卫视HD,http://121.24.99.191:8090/hls/34/index.m3u8
山西卫视,http://121.24.99.191:8090/hls/35/index.m3u8
东南卫视HD,http://121.24.99.191:8090/hls/36/index.m3u8
吉林卫视HD,http://121.24.99.191:8090/hls/37/index.m3u8
江苏卫视HD,http://121.24.99.191:8090/hls/38/index.m3u8
山东卫视HD,http://121.24.99.191:8090/hls/39/index.m3u8
贵州卫视HD,http://121.24.99.191:8090/hls/40/index.m3u8
云南卫视,http://121.24.99.191:8090/hls/41/index.m3u8
黑龙江卫视HD,http://121.24.99.191:8090/hls/42/index.m3u8
内蒙古卫视,http://121.24.99.191:8090/hls/43/index.m3u8
宁夏卫视,http://121.24.99.191:8090/hls/49/index.m3u8
江西卫视HD,http://121.24.99.191:8090/hls/55/index.m3u8
湖南卫视HD,http://121.24.99.191:8090/hls/56/index.m3u8
湖北卫视HD,http://121.24.99.191:8090/hls/57/index.m3u8
四川卫视HD,http://121.24.99.191:8090/hls/58/index.m3u8
辽宁卫视HD,http://121.24.99.191:8090/hls/59/index.m3u8
山东教育卫视,http://121.24.99.191:8090/hls/60/index.m3u8
新疆卫视,http://121.24.99.191:8090/hls/61/index.m3u8
青海卫视,http://121.24.99.191:8090/hls/76/index.m3u8
东方卫视HD,http://121.24.99.191:8090/hls/77/index.m3u8
重庆卫视HD,http://121.24.99.191:8090/hls/78/index.m3u8
浙江卫视HD,http://121.24.99.191:8090/hls/79/index.m3u8
安徽卫视HD,http://121.24.99.191:8090/hls/81/index.m3u8
广东卫视HD,http://121.24.99.191:8090/hls/82/index.m3u8
深圳卫视HD,http://121.24.99.191:8090/hls/84/index.m3u8
广西卫视HD,http://121.24.99.191:8090/hls/85/index.m3u8
陕西卫视,http://121.24.99.191:8090/hls/86/index.m3u8
海南卫视HD,http://121.24.99.191:8090/hls/100/index.m3u8

黑龙江电信,#genre#
CCTV-1HD,http://123.166.61.70:8003/hls/11/index.m3u8
CCTV-2HD,http://123.166.61.70:8003/hls/12/index.m3u8
CCTV-3HD,http://123.166.61.70:8003/hls/13/index.m3u8
CCTV-4HD,http://123.166.61.70:8003/hls/41/index.m3u8
CCTV-5HD,http://123.166.61.70:8003/hls/212/index.m3u8
CCTV-5+HD,http://123.166.61.70:8003/hls/213/index.m3u8
CCTV-6HD,http://123.166.61.70:8003/hls/214/index.m3u8
CCTV-7HD,http://123.166.61.70:8003/hls/42/index.m3u8
CCTV-8HD,http://123.166.61.70:8003/hls/216/index.m3u8
CCTV-9HD,http://123.166.61.70:8003/hls/217/index.m3u8
CCTV-10HD,http://123.166.61.70:8003/hls/218/index.m3u8
CCTV-11HD,http://123.166.61.70:8003/hls/43/index.m3u8
CCTV-12HD,http://123.166.61.70:8003/hls/219/index.m3u8
CCTV-14HD,http://123.166.61.70:8003/hls/241/index.m3u8
CCTV-15HD,http://123.166.61.70:8003/hls/44/index.m3u8
CCTV-16HD,http://123.166.61.70:8003/hls/16/index.m3u8
CCTV-17HD,http://123.166.61.70:8003/hls/215/index.m3u8
中国教育1HD,http://123.166.61.70:8003/hls/254/index.m3u8

广东卫视HD,http://123.166.61.70:8003/hls/21/index.m3u8
东方卫视HD,http://123.166.61.70:8003/hls/22/index.m3u8
四川卫视HD,http://123.166.61.70:8003/hls/24/index.m3u8
河南卫视HD,http://123.166.61.70:8003/hls/52/index.m3u8
东南卫视HD,http://123.166.61.70:8003/hls/53/index.m3u8
贵州卫视HD,http://123.166.61.70:8003/hls/54/index.m3u8
安徽卫视HD,http://123.166.61.70:8003/hls/55/index.m3u8
北京卫视HD,http://123.166.61.70:8003/hls/56/index.m3u8
天津卫视HD,http://123.166.61.70:8003/hls/57/index.m3u8
